Content,EventId,EventTemplate,EventStr
connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:24 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
check pass; user unknown,E27,check pass; user unknown,DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.42.188.206 () at Fri Jul 22 09:27:24 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
session closed for user cyrus,E101,session closed for user <*>,DES DES DES DES VAR
connection from 206.196.21.129 (host129.206.196.21.maximumasp.com) at Sat Jul  9 22:53:19 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:14:36 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 172.181.208.156 () at Tue Jul 26 05:47:51 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
connection from 212.65.68.82 () at Sat Jul 16 08:14:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session closed for user news,E101,session closed for user <*>,DES DES DES DES VAR
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
check pass; user unknown,E27,check pass; user unknown,DES DES DES DES
cupsd startup succeeded,E38,cupsd startup succeeded,DES DES DES
session closed for user news,E101,session closed for user <*>,DES DES DES DES VAR
session opened for user test by (uid=509),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
notify question section contains no SOA,E75,notify question section contains no SOA,DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220.117.241.87  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
Enabling fast FPU save and restore... done.,E44,Enabling fast FPU save and restore... done.,DES DES DES DES DES DES DES
PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,E82,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>,DES DES DES DES DES DES DES VAR
check pass; user unknown,E27,check pass; user unknown,DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:34 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:16 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:20 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
PID hash table entries: 512 (order 9: 4096 bytes),E84,PID hash table entries: 512 (order <*>: <*> bytes),DES DES DES DES DES DES DES VAR DES
connection from 210.245.165.136 () at Sun Jul 17 09:44:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session closed for user test,E101,session closed for user <*>,DES DES DES DES VAR
session closed for user test,E101,session closed for user <*>,DES DES DES DES VAR
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 210.245.165.136 () at Wed Jun 22 13:16:32 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 208.62.55.75 () at Wed Jun 29 10:48:08 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:20 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
check pass; user unknown,E27,check pass; user unknown,DES DES DES DES
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:14:36 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.9.58.217  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
session closed for user cyrus,E101,session closed for user <*>,DES DES DES DES VAR
connection from 211.72.151.162 () at Mon Jul 18 03:26:49 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session closed for user news,E101,session closed for user <*>,DES DES DES DES VAR
connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.229.150.228,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,E17,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=guest,DES DES DES DES DES DES DES DES DES
connection from 211.107.232.1 () at Fri Jul 15 23:42:43 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session closed for user cyrus,E101,session closed for user <*>,DES DES DES DES VAR
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:17 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=82.77.200.128  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
check pass; user unknown,E27,check pass; user unknown,DES DES DES DES
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.229.150.228,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 212.65.68.82 () at Sat Jul 16 08:14:07 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
session closed for user news,E101,session closed for user <*>,DES DES DES DES VAR
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
session closed for user test,E101,session closed for user <*>,DES DES DES DES VAR
connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=68.143.156.89.nw.nuvox.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 210.223.97.117 () at Wed Jun 29 14:44:35 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 67.95.49.172 () at Fri Jul 22 19:29:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
zapping low mappings.,E118,zapping low mappings.,DES DES DES
session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
connection from 206.47.209.10 () at Mon Jul 25 06:39:18 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.9.58.217  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 211.72.2.106 () at Tue Jul  5 13:52:23 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
connection from 211.167.68.59 () at Sat Jul  9 12:16:51 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.167.68.59 () at Sat Jun 25 19:25:31 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),DES DES DES DES VAR DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211-76-104-65.ebix.net.tw,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:15 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=62-192-102-94.dsl.easynet.nl  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 61.74.96.178 () at Wed Jun 29 03:22:23 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.72.151.162 () at Mon Jul 18 03:26:49 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 211.107.232.1 () at Sun Jul 24 13:46:34 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),E10,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>),DES DES DES DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
check pass; user unknown,E27,check pass; user unknown,DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=60.30.224.116  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,DES DES DES DES DES DES DES DES DES
session closed for user news,E101,session closed for user <*>,DES DES DES DES VAR
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,DES DES DES DES DES DES DES DES
connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
cupsd shutdown succeeded,E37,cupsd shutdown succeeded,DES DES DES
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,E19,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=test,DES DES DES DES DES DES DES DES DES
ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],DES DES DES DES DES
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,DES DES VAR DES DES DES
